"cost0","cost1","c1_fraction","replicate","metadata","total_length","euclidean","sinuosity","total_cost","cells_open","cells_closed"
1,5.5,0.6,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",136.882250993909,102.825094213426,1.33121444761132,9597.45717612985,12,115
1,6,0.6,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",132.78174593052,111.018016555873,1.19603781485048,12521.3084542674,35,127
1,1,0.7,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",102.710678118655,96.0416576283438,1.06943883159658,4593.86399182264,63,20
1,1.5,0.7,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",122.338095116624,114.109596441316,1.07211048791624,11319.7090512021,73,89
1,2,0.7,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",81.5685424949238,72.6704891960967,1.12244383376609,3306.58597617036,30,37
1,2.5,0.7,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",98.2253967444162,84.2021377400835,1.16654279072605,5454.94998518948,21,63
1,3,0.7,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",125.267027304759,111.198021565134,1.12652208682853,7873.01005772135,28,75
1,3.5,0.7,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",NA,NA,NA,NA,NA,NA
1,4,0.7,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",114.568542494924,90.5207158610668,1.26566103024159,8222.97777210913,28,76
1,4.5,0.7,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",94.0538238691624,81.0246875958186,1.16080452341067,5215.78390255372,22,58
1,5,0.7,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",113.811183182043,89.0224690738243,1.27845457855884,9132.68934070873,32,71
1,5.5,0.7,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",150.852813742386,120.341181646185,1.25354273307627,19705.9178149488,49,130
1,6,0.7,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",111.811183182043,71.1969100453102,1.57044994102814,9577.07293865981,36,75
1,1,0.8,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",116.40916292849,112.294256309038,1.03664396341098,8657.66701710119,119,40
1,1.5,0.8,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",79.4974746830583,71.4002801114954,1.11340564153136,4324.47521344933,41,60
1,2,0.8,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",NA,NA,NA,NA,NA,NA
1,2.5,0.8,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",107.225396744416,88.6397202161649,1.20967661543749,7241.11149745398,42,56
1,3,0.8,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",143.195959492893,118.827606220104,1.20507316479684,18980.1015383295,82,91
1,3.5,0.8,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",100.669047558312,83.4865258589672,1.20581191422878,10374.4483285818,64,50
1,4,0.8,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",NA,NA,NA,NA,NA,NA
1,4.5,0.8,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",102.39696961967,69.2026011071838,1.4796693763154,7095.18422745266,29,68
1,5,0.8,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",101.325901807805,78.7718223732319,1.28632166623883,13788.1330616095,57,58
1,5.5,0.8,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",155.195959492893,121.630588258053,1.27596159580868,20830.0685535949,52,89
1,6,0.8,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",NA,NA,NA,NA,NA,NA
1,1,0.9,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",113.923881554251,108.600184161906,1.0490210714966,8054.44753754244,130,23
1,1.5,0.9,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",94.0538238691624,84.2911620515461,1.11582070504196,6697.07482838398,76,45
1,2,0.9,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",NA,NA,NA,NA,NA,NA
1,2.5,0.9,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",135.509667991878,115.260574352204,1.17568100587282,11513.9551966294,59,56
1,3,0.9,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",NA,NA,NA,NA,NA,NA
1,3.5,0.9,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",107.39696961967,90.37698822156,1.18832206884772,10526.5825931485,57,38
1,4,0.9,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",81.9827560572969,75.0066663703967,1.09300626230275,7654.28953214206,49,17
1,4.5,0.9,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",120.053823869162,101.178060863015,1.1865598415817,15766.0598706994,66,38
1,5,0.9,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",100.183766184074,86.9252552484029,1.15252771933522,15123.8732760976,64,52
1,5.5,0.9,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",141.610173055266,119.670380629461,1.18333519380822,33151.5047742612,108,65
1,6,0.9,1,"targ0.1-0.2-0.3-0.4-0.5-0.6-0.7-0.8-0.9_cl_size5_r_size5",103.639610306789,88.2043082847998,1.17499487635174,14504.1484308518,49,39
