"","cost1","cost2","replicate","metadata","total_length","euclidean","sinuosity","total_cost"
"72",1,8,18,"targ0.8_cl_size5_r_size5",104.154328932551,88.4590300647707,1.17743014880773,14504.6885112046
"73",1,1,19,"targ0.8_cl_size5_r_size5",99.0243866176395,94.8103369891701,1.04444715378399,6378.05944370126
"74",1,2,19,"targ0.8_cl_size5_r_size5",108.982756057297,91.2852671574116,1.19387015507517,7643.38248603409
"75",1,4,19,"targ0.8_cl_size5_r_size5",115.882250993909,90,1.28758056659898,10284.1501520655
"76",1,8,19,"targ0.8_cl_size5_r_size5",NA,NA,NA,NA
"77",1,1,20,"targ0.8_cl_size5_r_size5",60.7401153701776,58.8982172905089,1.03127256077351,1447.14249456123
"78",1,2,20,"targ0.8_cl_size5_r_size5",78.5685424949238,72.4706837279737,1.08414242081445,3775.59840877085
"79",1,4,20,"targ0.8_cl_size5_r_size5",108.284271247462,70.7672240518165,1.53014722137716,9208.91755827717
"80",1,8,20,"targ0.8_cl_size5_r_size5",140.438600180013,108.577161502776,1.29344512452024,27684.207703937
"81",1,1,21,"targ0.8_cl_size5_r_size5",68.0832611206852,63.8122245341753,1.0669313226061,1998.62481734264
"82",1,2,21,"targ0.8_cl_size5_r_size5",117.195959492893,105.801701309573,1.10769447033731,6916.12190405725
"83",1,4,21,"targ0.8_cl_size5_r_size5",94.7401153701776,71.5891053163818,1.32338733598474,6440.13484427201
"84",1,8,21,"targ0.8_cl_size5_r_size5",101.740115370178,65.0691939399898,1.56356809128461,9670.15279240439
"85",1,1,22,"targ0.8_cl_size5_r_size5",84.4974746830583,78.2623792124926,1.07966912753363,4129.82322781408
"86",1,2,22,"targ0.8_cl_size5_r_size5",NA,NA,NA,NA
"87",1,4,22,"targ0.8_cl_size5_r_size5",122.225396744416,94.9210198006743,1.28765364090144,12899.9147258408
"88",1,8,22,"targ0.8_cl_size5_r_size5",65.5269119345812,53.9351462406472,1.21492044616351,9172.20752270728
"89",1,1,23,"targ0.8_cl_size5_r_size5",108.923881554251,104.63746938836,1.040964409699,7769.23137551401
"90",1,2,23,"targ0.8_cl_size5_r_size5",69.254833995939,63.8122245341753,1.08529101596903,4536.48484384687
"91",1,4,23,"targ0.8_cl_size5_r_size5",92.6396103067893,83.0963296421689,1.11484599507242,10232.8435267707
"92",1,8,23,"targ0.8_cl_size5_r_size5",109.740115370178,83.773504164503,1.30996209917022,15816.6465148641
"93",1,1,24,"targ0.8_cl_size5_r_size5",99.2670273047588,95.9009906101079,1.03509908159693,6543.96103067892
"94",1,2,24,"targ0.8_cl_size5_r_size5",89.4680374315355,83.240615086627,1.07481230572873,4474.53111654467
"95",1,4,24,"targ0.8_cl_size5_r_size5",118.710678118655,103.392456204503,1.14815608871748,15895.4452250371
"96",1,8,24,"targ0.8_cl_size5_r_size5",NA,NA,NA,NA
"97",1,1,25,"targ0.8_cl_size5_r_size5",NA,NA,NA,NA
"98",1,2,25,"targ0.8_cl_size5_r_size5",60.254833995939,55.9732078766261,1.07649420645589,3572.38955862212
"99",1,4,25,"targ0.8_cl_size5_r_size5",134.710678118655,115.974135047432,1.1615579462055,12961.3456931501
"100",1,8,25,"targ0.8_cl_size5_r_size5",128.296464556282,102.941731090943,1.24630179808167,15802.9659052654
"101",1,1,26,"targ0.8_cl_size5_r_size5",98.4386001800126,94.6414285606467,1.04012166423431,6363.41478276059
"102",1,2,26,"targ0.8_cl_size5_r_size5",86.5685424949238,78.2304288624318,1.10658402048587,6249.06796054225
"103",1,4,26,"targ0.8_cl_size5_r_size5",107.325901807805,88.9550448260243,1.20651843881041,8510.59351572934
"104",1,8,26,"targ0.8_cl_size5_r_size5",NA,NA,NA,NA
"105",1,1,27,"targ0.8_cl_size5_r_size5",74.2964645562817,72.9177618965366,1.01890763819248,3807.76644535209
"106",1,2,27,"targ0.8_cl_size5_r_size5",89.1543289325507,79.2590688817374,1.12484703883638,6033.80047518214
"107",1,4,27,"targ0.8_cl_size5_r_size5",NA,NA,NA,NA
"108",1,8,27,"targ0.8_cl_size5_r_size5",125.124891681028,95.4620343382645,1.31072936532711,23904.6141572414
"109",1,1,28,"targ0.8_cl_size5_r_size5",64.0121933088198,59.5399025864168,1.07511417600847,2478.63910269251
"110",1,2,28,"targ0.8_cl_size5_r_size5",112.882250993909,99.8248466064436,1.13080315003081,7522.4751015166
"111",1,4,28,"targ0.8_cl_size5_r_size5",92.39696961967,76.6093989011792,1.20607877029365,7302.7102248733
"112",1,8,28,"targ0.8_cl_size5_r_size5",75.3553390593274,49.4974746830583,1.52240774992748,6569.70111867847
"113",1,1,29,"targ0.8_cl_size5_r_size5",96.6812408671319,94.2602779541839,1.02568380833891,6342.91225744364
"114",1,2,29,"targ0.8_cl_size5_r_size5",101.468037431535,90.8019823572151,1.11746500238684,8919.99342652328
"115",1,4,29,"targ0.8_cl_size5_r_size5",84.5979797464467,72.9451848993475,1.15974727959327,8386.72446817103
"116",1,8,29,"targ0.8_cl_size5_r_size5",152.710678118655,101.607086367044,1.50295302797095,27867.4035836661
"117",1,1,30,"targ0.8_cl_size5_r_size5",91.8822509939086,86.5332306111357,1.06181463866535,5263.05403412988
"118",1,2,30,"targ0.8_cl_size5_r_size5",87.39696961967,80.4487414444751,1.0863683887459,7013.87688247848
"119",1,4,30,"targ0.8_cl_size5_r_size5",121.296464556282,97.2008230417829,1.24789544738876,9037.54094708482
"120",1,8,30,"targ0.8_cl_size5_r_size5",104.325901807805,68.425141578224,1.52467206353587,11844.5244689727
"121",1,1,31,"targ0.8_cl_size5_r_size5",103.509667991878,100.124921972504,1.03380523003357,7131.27387262613
"122",1,2,31,"targ0.8_cl_size5_r_size5",111.710678118655,99.724620831568,1.12019155537659,6783.0588454721
"123",1,4,31,"targ0.8_cl_size5_r_size5",92.0832611206852,67.3646791723972,1.36693683176356,8894.41059867848
"124",1,8,31,"targ0.8_cl_size5_r_size5",72.5979797464467,60.1082357085949,1.20778756672217,6615.2351402487
"125",1,1,32,"targ0.8_cl_size5_r_size5",89.0538238691624,83.7615663654877,1.06318240851159,3370.58859635367
"126",1,2,32,"targ0.8_cl_size5_r_size5",103.39696961967,89.5544527089524,1.15457095087952,6409.91613214718
"127",1,4,32,"targ0.8_cl_size5_r_size5",103.568542494924,89.5600357302296,1.15641470719027,10744.1179295315
"128",1,8,32,"targ0.8_cl_size5_r_size5",90.3259018078045,78.2943165242535,1.15367124738644,11533.7387452125
"129",1,1,33,"targ0.8_cl_size5_r_size5",98.9116882454314,91.3892772703669,1.08231174597005,5488.58181261624
"130",1,2,33,"targ0.8_cl_size5_r_size5",112.953318805774,99.6393496566492,1.13362159824411,10491.4348160914
"131",1,4,33,"targ0.8_cl_size5_r_size5",104.982756057297,83.815273071201,1.25254923369532,11969.2098336496
"132",1,8,33,"targ0.8_cl_size5_r_size5",132.811183182043,84.380092438916,1.5739634710425,13950.1377436289
"133",1,1,34,"targ0.8_cl_size5_r_size5",76.4680374315355,73.8782782690555,1.0350544060197,3901.2222894748
"134",1,2,34,"targ0.8_cl_size5_r_size5",100.811183182043,92.1303424502482,1.09422347188694,5907.80261678212
"135",1,4,34,"targ0.8_cl_size5_r_size5",114.568542494924,88.4081444212014,1.29590484276072,11296.8780023393
"136",1,8,34,"targ0.8_cl_size5_r_size5",106.325901807805,84.1189633792524,1.26399443759705,13359.0748445716
"137",1,1,35,"targ0.8_cl_size5_r_size5",101.225396744416,93.9414711402797,1.07753684837722,4606.86189978159
"138",1,2,35,"targ0.8_cl_size5_r_size5",87.254833995939,77.8973683766018,1.12012556796653,4234.98253729361
"139",1,4,35,"targ0.8_cl_size5_r_size5",116.882250993909,100.801785698469,1.15952559951211,9553.8379141536
"140",1,8,35,"targ0.8_cl_size5_r_size5",53.4558441227157,42.5205832509386,1.25717570258248,4700.82103264684
"141",1,1,36,"targ0.8_cl_size5_r_size5",119.066017177982,115.624391890293,1.02976556444037,5494.56788620386
"142",1,2,36,"targ0.8_cl_size5_r_size5",113.053823869162,99.569071503153,1.13543113501447,7165.44095204071
"143",1,4,36,"targ0.8_cl_size5_r_size5",NA,NA,NA,NA
"144",1,8,36,"targ0.8_cl_size5_r_size5",140.882250993909,114.337220536446,1.23216438472895,23029.8174342826
